	Fecha	Último	
	5/10/2022	87.76	
6/10/2022	6/10/2022	88.45	VERDADERO
7/10/2022	7/10/2022	92.64	VERDADERO
10/10/2022	10/10/2022	91.13	VERDADERO
11/10/2022	11/10/2022	89.35	VERDADERO
12/10/2022	12/10/2022	87.27	VERDADERO
13/10/2022	13/10/2022	89.11	VERDADERO
14/10/2022	14/10/2022	85.61	VERDADERO
17/10/2022	17/10/2022	85.46	VERDADERO
18/10/2022	18/10/2022	82.82	VERDADERO
19/10/2022	19/10/2022	85.55	VERDADERO
20/10/2022	20/10/2022	85.98	VERDADERO
21/10/2022	21/10/2022	85.05	VERDADERO
24/10/2022	24/10/2022	84.58	VERDADERO
25/10/2022	25/10/2022	85.32	VERDADERO
26/10/2022	26/10/2022	87.91	VERDADERO
27/10/2022	27/10/2022	89.08	VERDADERO
28/10/2022	28/10/2022	87.9	VERDADERO
31/10/2022	31/10/2022	86.53	VERDADERO
1/11/2022	1/11/2022	88.37	VERDADERO
2/11/2022	2/11/2022	90	VERDADERO
3/11/2022	3/11/2022	88.17	VERDADERO
4/11/2022	4/11/2022	92.61	VERDADERO
7/11/2022	7/11/2022	91.79	VERDADERO
8/11/2022	8/11/2022	88.91	VERDADERO
9/11/2022	9/11/2022	85.83	VERDADERO
10/11/2022	10/11/2022	86.47	VERDADERO
11/11/2022	11/11/2022	88.96	VERDADERO
14/11/2022	14/11/2022	85.87	VERDADERO
15/11/2022	15/11/2022	86.92	VERDADERO
16/11/2022	16/11/2022	85.59	VERDADERO
17/11/2022	17/11/2022	81.64	VERDADERO
18/11/2022	18/11/2022	80.08	VERDADERO
21/11/2022	21/11/2022	79.73	VERDADERO
22/11/2022	22/11/2022	80.95	VERDADERO
23/11/2022	23/11/2022	77.94	VERDADERO
25/11/2022	25/11/2022	76.28	VERDADERO
28/11/2022	28/11/2022	77.24	VERDADERO
29/11/2022	29/11/2022	78.2	VERDADERO
30/11/2022	30/11/2022	80.56	VERDADERO
1/12/2022	1/12/2022	81.33	VERDADERO
2/12/2022	2/12/2022	80.3	VERDADERO
5/12/2022	5/12/2022	77.4	VERDADERO
6/12/2022	6/12/2022	74.47	VERDADERO
7/12/2022	7/12/2022	72.58	VERDADERO
8/12/2022	8/12/2022	72.06	VERDADERO
9/12/2022	9/12/2022	71.5	VERDADERO
12/12/2022	12/12/2022	73.44	VERDADERO
13/12/2022	13/12/2022	75.19	VERDADERO
14/12/2022	14/12/2022	77.27	VERDADERO
15/12/2022	15/12/2022	76.25	VERDADERO
16/12/2022	16/12/2022	74.45	VERDADERO
19/12/2022	19/12/2022	75.89	VERDADERO
20/12/2022	20/12/2022	76.23	VERDADERO
21/12/2022	21/12/2022	78.24	VERDADERO
22/12/2022	22/12/2022	78.45	VERDADERO
23/12/2022	23/12/2022	79.34	VERDADERO
27/12/2022	27/12/2022	79.77	VERDADERO
28/12/2022	28/12/2022	78.6	VERDADERO
29/12/2022	29/12/2022	78.61	VERDADERO
30/12/2022	30/12/2022	80.47	VERDADERO
3/01/2023	2/01/2023	80.47	FALSO
4/01/2023	3/01/2023	77.12	FALSO
5/01/2023	4/01/2023	73.1	FALSO
6/01/2023	5/01/2023	73.92	FALSO
9/01/2023	6/01/2023	74.04	FALSO
10/01/2023	9/01/2023	74.92	FALSO
11/01/2023	10/01/2023	75.37	FALSO
12/01/2023	11/01/2023	77.68	FALSO
13/01/2023	12/01/2023	78.65	FALSO
17/01/2023	13/01/2023	80.11	FALSO
18/01/2023	15/01/2023	79.78	FALSO
19/01/2023	16/01/2023	79.04	FALSO
20/01/2023	17/01/2023	80.45	FALSO
23/01/2023	18/01/2023	79.8	FALSO
24/01/2023	19/01/2023	80.61	FALSO
25/01/2023	20/01/2023	81.64	FALSO
26/01/2023	23/01/2023	81.62	FALSO
27/01/2023	24/01/2023	80.13	FALSO
30/01/2023	25/01/2023	80.15	FALSO
31/01/2023	26/01/2023	81.01	FALSO
1/02/2023	27/01/2023	79.68	FALSO
2/02/2023	30/01/2023	77.9	FALSO
3/02/2023	31/01/2023	78.87	FALSO
6/02/2023	1/02/2023	76.41	FALSO
7/02/2023	2/02/2023	75.88	FALSO
8/02/2023	3/02/2023	73.39	FALSO
9/02/2023	6/02/2023	74.11	FALSO
10/02/2023	7/02/2023	77.14	FALSO
13/02/2023	8/02/2023	78.47	FALSO
14/02/2023	9/02/2023	78.06	FALSO
15/02/2023	10/02/2023	79.72	FALSO
16/02/2023	13/02/2023	80.14	FALSO
17/02/2023	14/02/2023	79.06	FALSO
21/02/2023	15/02/2023	78.59	FALSO
22/02/2023	16/02/2023	78.49	FALSO
23/02/2023	17/02/2023	76.34	FALSO
24/02/2023	19/02/2023	76.67	FALSO
27/02/2023	20/02/2023	77.3	FALSO
28/02/2023	21/02/2023	76.16	FALSO
1/03/2023	22/02/2023	73.95	FALSO
2/03/2023	23/02/2023	75.39	FALSO
3/03/2023	24/02/2023	76.32	FALSO
6/03/2023	27/02/2023	75.68	FALSO
7/03/2023	28/02/2023	77.05	FALSO
8/03/2023	1/03/2023	77.69	FALSO
9/03/2023	2/03/2023	78.16	FALSO
10/03/2023	3/03/2023	79.68	FALSO
13/03/2023	6/03/2023	80.46	FALSO
14/03/2023	7/03/2023	77.58	FALSO
15/03/2023	8/03/2023	76.66	FALSO
16/03/2023	9/03/2023	75.72	FALSO
17/03/2023	10/03/2023	76.68	FALSO
20/03/2023	13/03/2023	74.8	FALSO
21/03/2023	14/03/2023	71.33	FALSO
22/03/2023	15/03/2023	67.61	FALSO
23/03/2023	16/03/2023	68.35	FALSO
24/03/2023	17/03/2023	66.74	FALSO
27/03/2023	20/03/2023	67.64	FALSO
28/03/2023	21/03/2023	69.33	FALSO
29/03/2023	22/03/2023	70.9	FALSO
30/03/2023	23/03/2023	69.96	FALSO
31/03/2023	24/03/2023	69.26	FALSO
3/04/2023	27/03/2023	72.81	FALSO
4/04/2023	28/03/2023	73.2	FALSO
5/04/2023	29/03/2023	72.97	FALSO
6/04/2023	30/03/2023	74.37	FALSO
10/04/2023	31/03/2023	75.67	FALSO
11/04/2023	3/04/2023	80.42	FALSO
12/04/2023	4/04/2023	80.71	FALSO
13/04/2023	5/04/2023	80.61	FALSO
14/04/2023	6/04/2023	80.7	FALSO
17/04/2023	10/04/2023	79.74	FALSO
18/04/2023	11/04/2023	81.53	FALSO
19/04/2023	12/04/2023	83.26	FALSO
20/04/2023	13/04/2023	82.16	FALSO
21/04/2023	14/04/2023	82.52	FALSO
24/04/2023	17/04/2023	80.83	FALSO
25/04/2023	18/04/2023	80.86	FALSO
26/04/2023	19/04/2023	79.16	FALSO
27/04/2023	20/04/2023	77.29	FALSO
28/04/2023	21/04/2023	77.87	FALSO
1/05/2023	24/04/2023	78.76	FALSO
2/05/2023	25/04/2023	77.07	FALSO
3/05/2023	26/04/2023	74.3	FALSO
4/05/2023	27/04/2023	74.76	FALSO
5/05/2023	28/04/2023	76.78	FALSO
8/05/2023	1/05/2023	75.66	FALSO
9/05/2023	2/05/2023	71.66	FALSO
10/05/2023	3/05/2023	68.6	FALSO
11/05/2023	4/05/2023	68.56	FALSO
12/05/2023	5/05/2023	71.34	FALSO
15/05/2023	8/05/2023	73.16	FALSO
16/05/2023	9/05/2023	73.71	FALSO
17/05/2023	10/05/2023	72.56	FALSO
18/05/2023	11/05/2023	70.87	FALSO
19/05/2023	12/05/2023	70.04	FALSO
22/05/2023	15/05/2023	71.11	FALSO
23/05/2023	16/05/2023	70.86	FALSO
24/05/2023	17/05/2023	72.83	FALSO
25/05/2023	18/05/2023	71.86	FALSO
26/05/2023	19/05/2023	71.55	FALSO
30/05/2023	22/05/2023	71.99	FALSO
31/05/2023	23/05/2023	72.91	FALSO
1/06/2023	24/05/2023	74.34	FALSO
2/06/2023	25/05/2023	71.83	FALSO
5/06/2023	26/05/2023	72.67	FALSO
6/06/2023	28/05/2023	73.22	FALSO
7/06/2023	29/05/2023	72.87	FALSO
8/06/2023	30/05/2023	69.46	FALSO
9/06/2023	31/05/2023	68.09	FALSO
12/06/2023	1/06/2023	70.1	FALSO
13/06/2023	2/06/2023	71.74	FALSO
14/06/2023	5/06/2023	72.15	FALSO
15/06/2023	6/06/2023	71.74	FALSO
16/06/2023	7/06/2023	72.53	FALSO
20/06/2023	8/06/2023	71.29	FALSO
21/06/2023	9/06/2023	70.17	FALSO
22/06/2023	12/06/2023	67.12	FALSO
23/06/2023	13/06/2023	69.42	FALSO
26/06/2023	14/06/2023	68.27	FALSO
27/06/2023	15/06/2023	70.62	FALSO
28/06/2023	16/06/2023	71.78	FALSO
29/06/2023	18/06/2023	71.47	FALSO
30/06/2023	19/06/2023	71.31	FALSO
3/07/2023	20/06/2023	70.5	FALSO
5/07/2023	21/06/2023	72.53	FALSO
6/07/2023	22/06/2023	69.51	FALSO
7/07/2023	23/06/2023	69.16	FALSO
10/07/2023	26/06/2023	69.37	FALSO
11/07/2023	27/06/2023	67.7	FALSO
12/07/2023	28/06/2023	69.56	FALSO
13/07/2023	29/06/2023	69.86	FALSO
14/07/2023	30/06/2023	70.64	FALSO
17/07/2023	3/07/2023	69.79	FALSO
18/07/2023	4/07/2023	71.06	FALSO
19/07/2023	5/07/2023	71.79	FALSO
20/07/2023	6/07/2023	71.8	FALSO
21/07/2023	7/07/2023	73.86	FALSO
24/07/2023	10/07/2023	72.99	FALSO
25/07/2023	11/07/2023	74.83	FALSO
26/07/2023	12/07/2023	75.75	FALSO
27/07/2023	13/07/2023	76.89	FALSO
28/07/2023	14/07/2023	75.42	FALSO
31/07/2023	17/07/2023	74.15	FALSO
1/08/2023	18/07/2023	75.75	FALSO
2/08/2023	19/07/2023	75.35	FALSO
3/08/2023	20/07/2023	75.63	FALSO
4/08/2023	21/07/2023	77.07	FALSO
7/08/2023	24/07/2023	78.74	FALSO
8/08/2023	25/07/2023	79.63	FALSO
9/08/2023	26/07/2023	78.78	FALSO
10/08/2023	27/07/2023	80.09	FALSO
11/08/2023	28/07/2023	80.58	FALSO
14/08/2023	31/07/2023	81.8	FALSO
15/08/2023	1/08/2023	81.37	FALSO
16/08/2023	2/08/2023	79.49	FALSO
17/08/2023	3/08/2023	81.55	FALSO
18/08/2023	4/08/2023	82.82	FALSO
21/08/2023	7/08/2023	81.94	FALSO
22/08/2023	8/08/2023	82.92	FALSO
23/08/2023	9/08/2023	84.4	FALSO
24/08/2023	10/08/2023	82.82	FALSO
25/08/2023	11/08/2023	83.19	FALSO
28/08/2023	14/08/2023	82.51	FALSO
29/08/2023	15/08/2023	80.99	FALSO
30/08/2023	16/08/2023	79.38	FALSO
31/08/2023	17/08/2023	80.39	FALSO
1/09/2023	18/08/2023	81.25	FALSO
5/09/2023	21/08/2023	80.72	FALSO
6/09/2023	22/08/2023	80.35	FALSO
7/09/2023	23/08/2023	78.89	FALSO
8/09/2023	24/08/2023	79.05	FALSO
11/09/2023	25/08/2023	79.83	FALSO
12/09/2023	28/08/2023	80.1	FALSO
13/09/2023	29/08/2023	81.16	FALSO
14/09/2023	30/08/2023	81.63	FALSO
15/09/2023	31/08/2023	83.63	FALSO
18/09/2023	1/09/2023	85.55	FALSO
19/09/2023	3/09/2023	85.85	FALSO
20/09/2023	4/09/2023	85.82	FALSO
21/09/2023	5/09/2023	86.69	FALSO
22/09/2023	6/09/2023	87.54	FALSO
25/09/2023	7/09/2023	86.87	FALSO
26/09/2023	8/09/2023	87.51	FALSO
27/09/2023	11/09/2023	87.29	FALSO
28/09/2023	12/09/2023	88.84	FALSO
29/09/2023	13/09/2023	88.52	FALSO
2/10/2023	14/09/2023	90.16	FALSO
3/10/2023	15/09/2023	90.77	FALSO
4/10/2023	18/09/2023	91.48	FALSO
5/10/2023	19/09/2023	91.2	FALSO
	20/09/2023	90.28	FALSO
	21/09/2023	89.63	FALSO
	22/09/2023	90.03	FALSO
	25/09/2023	89.68	FALSO
	26/09/2023	90.39	FALSO
	27/09/2023	93.68	FALSO
	28/09/2023	91.71	FALSO
	29/09/2023	90.79	FALSO
	2/10/2023	88.82	FALSO
	3/10/2023	89.23	FALSO
	4/10/2023	84.22	FALSO
	5/10/2023	82.31	FALSO
